(test_roc_auc , test_accuracy , val_accuracy , val_loss , dir_name)
[(0.92224696, 0.84   , 0.837875  , 0.34759653, 'simple_rnn_kt/lr_batch__lr_0.005_decay_0.9_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.91958038, 0.838  , 0.8365    , 0.35475077, 'simple_rnn_kt/lr_batch__lr_0.002_decay_0.9_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.91630573, 0.835  , 0.83196615, 0.36515813, 'simple_rnn_kt/lr_batch__lr_0.005_decay_0.9_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.91574483, 0.835  , 0.835     , 0.3631811 , 'simple_rnn_kt/lr_batch__lr_0.002_decay_0.7_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
 (0.91518205, 0.83138, 0.8313151 , 0.36352059, 'simple_rnn_kt/h_dim__lr_0.005_decay_0.9_batch_1024_epochs_30_hidden_160_Njets_40000_features_7')
 (0.91390567, 0.835  , 0.8285    , 0.36779987, 'simple_rnn_kt/lr_batch__lr_0.005_decay_0.8_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.9131834 , 0.832  , 0.83025   , 0.36837296, 'simple_rnn_kt/lr_batch__lr_0.002_decay_0.9_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
 (0.91308194, 0.832  , 0.82717994, 0.37062733, 'simple_rnn_kt/lr_batch__lr_0.002_decay_0.9_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.91139235, 0.834  , 0.831125  , 0.36990465, 'simple_rnn_kt/lr_batch__lr_0.0005_decay_0.9_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
 (0.91125972, 0.831  , 0.82724294, 0.3732082 , 'simple_rnn_kt/lr_batch__lr_0.005_decay_0.8_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.91076476, 0.83   , 0.8233724 , 0.37858576, 'simple_rnn_kt/lr_batch__lr_0.005_decay_0.8_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.91028796, 0.83   , 0.82743196, 0.37415694, 'simple_rnn_kt/lr_batch__lr_0.005_decay_0.9_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.90982988, 0.831  , 0.8300625 , 0.37544205, 'simple_rnn_kt/lr_batch__lr_0.002_decay_0.8_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.90930777, 0.826  , 0.82513021, 0.37773544, 'simple_rnn_kt/lr_batch__lr_0.002_decay_0.9_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.90781219, 0.828  , 0.82375   , 0.3806344 , 'simple_rnn_kt/lr_batch__lr_0.005_decay_0.7_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.90600189, 0.824  , 0.81980847, 0.38509482, 'simple_rnn_kt/lr_batch__lr_0.0005_decay_0.9_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.90585768, 0.824  , 0.82094254, 0.37883237, 'simple_rnn_kt/lr_batch__lr_0.002_decay_0.9_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.90554367, 0.82324, 0.82128906, 0.38165431, 'simple_rnn_kt/h_dim__lr_0.005_decay_0.9_batch_1024_epochs_30_hidden_80_Njets_40000_features_7')
 (0.90483742, 0.825  , 0.8225625 , 0.38489631, 'simple_rnn_kt/lr_batch__lr_0.0005_decay_0.9_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.90257119, 0.822  , 0.81760333, 0.39184956, 'simple_rnn_kt/lr_batch__lr_0.002_decay_0.8_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.90111451, 0.821  , 0.8164375 , 0.39470642, 'simple_rnn_kt/lr_batch__lr_0.0005_decay_0.8_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
 (0.90105768, 0.818  , 0.8156502 , 0.39942746, 'simple_rnn_kt/lr_batch__lr_0.0005_decay_0.9_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.90102117, 0.82   , 0.8180625 , 0.39029325, 'simple_rnn_kt/lr_batch__lr_0.005_decay_0.9_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
 (0.90055426, 0.817  , 0.81458333, 0.3965984 , 'simple_rnn_kt/lr_batch__lr_0.005_decay_0.7_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.89949163, 0.819  , 0.81659526, 0.39403055, 'simple_rnn_kt/lr_batch__lr_0.01_decay_0.8_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.89782667, 0.821  , 0.8175    , 0.39744967, 'simple_rnn_kt/lr_batch__lr_0.002_decay_0.8_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
 (0.89763236, 0.818  , 0.81457913, 0.39779195, 'simple_rnn_kt/lr_batch__lr_0.01_decay_0.7_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.89744569, 0.818  , 0.81350806, 0.40039431, 'simple_rnn_kt/lr_batch__lr_0.005_decay_0.8_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.89515002, 0.813  , 0.81464214, 0.40890799, 'simple_rnn_kt/lr_batch__lr_0.0005_decay_0.8_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.89468053, 0.82   , 0.816125  , 0.41206455, 'simple_rnn_kt/lr_batch__lr_0.0005_decay_0.7_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
 (0.89355352, 0.813  , 0.81367188, 0.40650139, 'simple_rnn_kt/lr_batch__lr_0.002_decay_0.8_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.89045305, 0.81763, 0.814625  , 0.41627051, 'simple_rnn_kt/lr_batch__lr_0.0005_decay_0.8_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.8896889 , 0.80975, 0.8069375 , 0.41141481, 'simple_rnn_kt/h_dim__lr_0.005_decay_0.9_batch_128_epochs_30_hidden_20_Njets_40000_features_7')
 (0.88936673, 0.814  , 0.808     , 0.41208766, 'simple_rnn_kt/lr_batch__lr_0.005_decay_0.7_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
