(test_roc_auc , test_accuracy , val_accuracy , val_loss , dir_name)
[(0.98681655, 0.94273, 0.94235   ,  0.14432489, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.9_batch_128_epochs_45_hidden_50_Njets_600000_features_7')
 (0.98505573, 0.93931, 0.93845312,  0.15313171, 'simple_rnn_kt_top_qcd/fully_connected_layers_50_100_25_1_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_40_Njets_160000_features_7')
 (0.98495848, 0.93956, 0.93884375,  0.15164244, 'simple_rnn_kt_top_qcd/fully_connected_layers_50_50_25_1_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_40_Njets_160000_features_7')
 (0.98475655, 0.93955, 0.93770312,  0.15285924, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.9_batch_128_epochs_40_hidden_40_Njets_160000_features_7')
 (0.98451177, 0.9377 , 0.93867188,  0.15454667, 'simple_rnn_kt_top_qcd/fully_connected_layers_50_100_25_1_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_160000_features_7')
 (0.98396657, 0.93563, 0.93626562,  0.15918455, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.9_batch_64_epochs_40_hidden_40_Njets_160000_features_7')
 (0.98396032, 0.93797, 0.93685938,  0.1592919 , 'simple_rnn_kt_top_qcd/fully_connected_layers_100_200_50_1_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_160000_features_7')
 (0.98373227, 0.93553, 0.9373125 ,  0.15750783, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_7')
 (0.98369829, 0.93619, 0.937     ,  0.15689868, 'simple_rnn_kt_top_qcd/OLD_ARCHITECTURE_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_7')
 (0.98368527, 0.93566, 0.93678125,  0.1576793 , 'simple_rnn_kt_top_qcd/NEW_FEATURES_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_9')
 (0.98294323, 0.93466, 0.93575   ,  0.15920932, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.9_batch_64_epochs_40_hidden_40_Njets_80000_features_7')
 (0.98283411, 0.9335 , 0.93484375,  0.16590129, 'simple_rnn_kt_top_qcd/no_rewrite_content_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_7')
 (0.98283411, 0.9335 , 0.93484375,  0.16590129, 'simple_rnn_kt_top_qcd/NEW_FEATURES_old_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_7')
 (0.98283411, 0.9335 , 0.93484375,  0.16590129, 'simple_rnn_kt_top_qcd/NEW_FEATURES_old2_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_7')
 (0.98273814, 0.9325 , 0.93396875,  0.16432774, 'simple_rnn_kt_top_qcd/NEW_FEATURES_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_6')
 (0.98262127, 0.93275, 0.93409375,  0.1617117 , 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.9_batch_128_epochs_40_hidden_30_Njets_80000_features_7')
 (0.98235705, 0.93325, 0.934625  ,  0.16325914, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.9_batch_128_epochs_40_hidden_40_Njets_80000_features_7')
 (0.98207227, 0.93163, 0.93353125,  0.16733539, 'simple_rnn_kt_top_qcd/NEW_FEATURES_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_5')
 (0.981091  , 0.92966, 0.9324375 ,  0.17020994, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.9_batch_128_epochs_40_hidden_70_Njets_80000_features_7')
 (0.97996238, 0.92972, 0.92990625,  0.18111346, 'simple_rnn_kt_top_qcd/NEW_FEATURES_CA_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_10')
 (0.9797847 , 0.92737, 0.9295625 ,  0.17506885, 'simple_rnn_kt_top_qcd/NEW_FEATURES_kt_CA_antikt_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_12')
 (0.9796497 , 0.92731, 0.92846875,  0.17831084, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.9_batch_128_epochs_40_hidden_80_Njets_80000_features_7')
 (0.97957726, 0.92728, 0.92825   ,  0.18351472, 'simple_rnn_kt_top_qcd/fully_connected_layers_100_200_50_1_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_7')
