(test_roc_auc , test_accuracy , val_accuracy , val_loss , dir_name)
[(0.98401864, 0.93781, 0.93565625, 0.16215433, 'simple_rnn_top_qcd/kt/kt_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_7')
 (0.98366832, 0.93594, 0.93340625, 0.16468699, 'simple_rnn_top_qcd/kt/abs_charge_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_8')
 (0.98323042, 0.93684, 0.933375  , 0.16732163, 'simple_rnn_top_qcd/kt/kt_shift_rot_flip_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_7')
 (0.98292461, 0.93312, 0.93221875, 0.17212548, 'simple_rnn_top_qcd/kt/charge_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_8')
 (0.98207531, 0.93163, 0.93121875, 0.17610091, 'simple_rnn_top_qcd/kt/charge_muon_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_10')
 (0.98124023, 0.92997, 0.92696875, 0.17884503, 'simple_rnn_top_qcd/kt/tot_charge_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_9')
 (0.93782504, 0.86294, 0.8641875 , 0.31814428, 'simple_rnn_top_qcd/kt/pT_p_eta_phi_theta_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_7')
 (0.90171089, 0.82122, 0.8230625 , 0.38606483, 'simple_rnn_top_qcd/kt/pT_eta_phi_theta_lr_0.005_decay_0.9_batch_128_epochs_40_hidden_50_Njets_80000_features_4')
 (0.55555556, 0.5    , 0.5       , 2.397146  , 'simple_rnn_top_qcd/kt/pT_p_eta_phi_theta_lr_0.005_decay_0.9_batch_1_epochs_1_hidden_50_Njets_10_features_7')
 (0.22222222, 0.5    , 0.5       , 3.24432302, 'simple_rnn_top_qcd/kt/charge_muon_test_lr_0.005_decay_0.9_batch_1_epochs_1_hidden_50_Njets_10_features_10')]
